iter	Passed	Remaining
780	902	253
781	903	251
782	904	250
783	905	249
784	906	248
785	907	246
786	907	245
787	908	244
788	909	243
789	912	242
790	913	241
791	914	240
792	914	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	920	230
800	921	228
801	922	227
802	923	226
803	924	225
804	929	225
805	931	224
806	932	222
807	933	221
808	934	220
809	935	219
810	936	218
811	937	216
812	937	215
813	938	214
814	939	213
815	941	212
816	942	211
817	943	210
818	944	208
819	945	207
820	946	206
821	947	205
822	948	203
823	949	202
824	950	201
825	951	200
826	952	199
827	952	197
828	953	196
829	955	195
830	956	194
831	957	193
832	958	192
833	959	190
834	960	189
835	961	188
836	962	187
837	963	186
838	964	185
839	965	183
840	966	182
841	966	181
842	967	180
843	968	179
844	972	178
845	974	177
846	975	176
847	976	175
848	977	173
849	978	172
850	979	171
851	980	170
852	982	169
853	983	168
854	984	166
855	987	166
856	988	165
857	989	163
858	990	162
859	991	161
860	992	160
861	993	159
862	994	157
863	995	156
864	996	155
865	996	154
866	997	153
867	998	151
868	999	150
869	1005	150
870	1006	149
871	1007	147
872	1008	146
873	1008	145
874	1009	144
875	1010	142
876	1010	141
877	1011	140
878	1012	139
879	1013	138
880	1014	136
881	1015	135
882	1017	134
883	1018	133
884	1019	132
885	1020	131
886	1021	130
887	1022	128
888	1023	127
889	1024	126
890	1024	125
891	1025	124
892	1026	122
893	1026	121
894	1027	120
895	1028	119
896	1028	118
897	1029	116
898	1037	116
899	1038	115
900	1038	114
901	1039	112
902	1040	111
903	1041	110
904	1041	109
905	1042	108
906	1043	106
907	1043	105
908	1044	104
909	1047	103
910	1049	102
911	1050	101
912	1051	100
913	1052	99
914	1052	97
915	1053	96
916	1054	95
917	1055	94
918	1055	93
919	1056	91
920	1057	90
921	1057	89
922	1058	88
923	1059	87
924	1060	85
925	1061	84
926	1062	83
927	1063	82
928	1063	81
929	1064	80
930	1065	78
931	1065	77
932	1066	76
933	1067	75
934	1067	74
935	1068	73
936	1069	71
937	1069	70
938	1070	69
939	1071	68
940	1072	67
941	1072	66
942	1073	64
943	1074	63
944	1075	62
945	1077	61
946	1077	60
947	1078	59
948	1079	58
949	1080	56
950	1080	55
951	1081	54
952	1082	53
953	1082	52
954	1083	51
955	1084	49
956	1084	48
957	1085	47
958	1086	46
959	1087	45
960	1087	44
961	1088	43
962	1089	41
963	1090	40
964	1092	39
965	1093	38
966	1094	37
967	1095	36
968	1095	35
969	1096	33
970	1097	32
971	1097	31
972	1098	30
973	1099	29
974	1099	28
975	1100	27
976	1101	25
977	1102	24
978	1103	23
979	1104	22
980	1105	21
981	1109	20
982	1110	19
983	1110	18
984	1111	16
985	1112	15
986	1113	14
987	1114	13
988	1114	12
989	1115	11
990	1116	10
991	1117	9
992	1118	7
993	1118	6
994	1119	5
995	1121	4
996	1123	3
997	1124	2
998	1125	1
999	1125	0
